Type,Name,Size,Unit,Dwt,GT,Flag,Built,Month,Builder,OwnerGroup
Container,Lintas Bengkulu,200 ,TEU,4856 ,2670 ,Indonesia,2012 ,10 ,Zhejiang Zhenxing,Lintas Kumala
Container,Kholmogory,366 ,TEU,4830 ,2986 ,Russia,1995 ,4 ,Kroeger Werft,NSC Arkhangelsk
Container,Mikhail Lomonsov,366 ,TEU,4830 ,2990 ,Russia,2000 ,6 ,Kroeger Werft,NSC Arkhangelsk
Container,Medazov Rosa,366 ,TEU,4830 ,2986 ,St. Vincent & Grenadines,1996 ,12 ,Kroeger Werft,Med Azov Line
Container,UCCL Alara,366 ,TEU,4830 ,2986 ,Barbados,1996 ,8 ,Kroeger Werft,UCCL
Container,Tai Cang Hu,366 ,TEU,4830 ,2986 ,Peoples' Republic of China,1997 ,1 ,Kroeger Werft,Taicang Container
Container,Zeya,366 ,TEU,4830 ,2986 ,Russia,1995 ,11 ,Kroeger Werft,Sakhalin Shpg. Co.
Container,Juan Diego,366 ,TEU,4814 ,2988 ,Cyprus,1999 ,5 ,Kroeger Werft,Linea Peninsular
Container,Nihal,395 ,TEU,4805 ,3790 ,Cook Islands,1994 ,11 ,Est. Mondego,Dmv Denizcilik Ltd.
Container,Vantage,365 ,TEU,4800 ,3971 ,Netherlands,2007 ,11 ,Shipyd. Bijlsma,Veka Group B.V.
Container,Vanquish,365 ,TEU,4800 ,3871 ,Netherlands,2012 ,4 ,Shipyd. Bijlsma,Veka Group B.V.
Container,Fiorano,365 ,TEU,4800 ,3871 ,Netherlands,2012 ,5 ,Shipyd. Bijlsma,Veka Group B.V.
Container,Sun Unicorn,366 ,TEU,4791 ,2990 ,Palau,1998 ,12 ,Kroeger Werft,Sun Unicorn Nav.
Container,Lumoso Gembira,368 ,TEU,4788 ,3710 ,Indonesia,2010 ,3 ,Fuzhou Xiayang,Bauhinia Marine Pte.
Container,Lumoso Selamat,368 ,TEU,4781 ,3710 ,Indonesia,2009 ,5 ,Cangshan Xiayang,Tanto Intim Line
Container,Lumoso Bahagia,368 ,TEU,4781 ,3710 ,Indonesia,2009 ,10 ,Fuzhou Xiayang,Tanto Intim Line
Container,Tritoins,343 ,TEU,4707 ,3466 ,St. Vincent & Grenadines,1991 ,8 ,Marmara Tersanesi,Alfamarine Shipping
Container,Princess Sara,343 ,TEU,4705 ,3469 ,Tanzania,1991 ,11 ,Marmara Tersanesi,Unknown
Container,Zhong Wai Yun Chang Jiang 003,303 ,TEU,4705 ,4272 ,Peoples' Republic of China,2012 ,1 ,CSC Zijinshan SY,Sinotrans & CSC
Container,Zhong Wai Yun Chang Jiang 002,303 ,TEU,4690 ,4272 ,Peoples' Republic of China,2011 ,12 ,CSC Zijinshan SY,Sinotrans & CSC
Container,Fortune,250 ,TEU,4674 ,2995 ,Indonesia,2008 ,10 ,Wenling Yongli,Salam Pacific
Container,Sweet Istanbul,374 ,TEU,4665 ,3815 ,Indonesia,1991 ,,J. J. Sietas,Alkan Abadi
Container,Vanquish,326 ,TEU,4662 ,2996 ,Netherlands,1995 ,6 ,J. J. Sietas,Holwerda Shipmngt.
Container,Marti Prime,372 ,TEU,4659 ,3815 ,Indonesia,1991 ,4 ,J. J. Sietas,Alkan Abadi
Container,Mom Rayme,323 ,TEU,4649 ,3601 ,Panama,1997 ,9 ,J. Pattje,H&H Berederung
Container,Anja,326 ,TEU,4622 ,2996 ,Netherlands,1995 ,9 ,J. J. Sietas,Jens & Waller K.G.
Container,Antonia B,356 ,TEU,4582 ,3870 ,Antigua & Barbuda,1983 ,11 ,J. J. Sietas,G. Buck Schiffahrts
Container,Jolanta,325 ,TEU,4575 ,3621 ,Malta,1999 ,3 ,J. Pattje,Cargohunters AS
Container,Han Nam,215 ,TEU,4538 ,1859 ,Taiwan,1997 ,1 ,Korea Tacoma,Hanjin Group
Container,PAC Banda,310 ,TEU,4535 ,3058 ,Singapore,1999 ,12 ,Jiangsu Yangzijiang,Pacific Carriers
Container,TCI Surya,323 ,TEU,4513 ,3620 ,Indonesia,1998 ,3 ,J. Pattje,TCI Seaways Ltd.
Container,Daroja,312 ,TEU,4513 ,3266 ,Cyprus,1997 ,4 ,J. Pattje,H&H Berederung
Container,Ngon Shuen,210 ,TEU,4505 ,3641 ,Hong Kong,1997 ,5 ,Guangdong Jiangmen,South China WMI
Container,Lai Wan,210 ,TEU,4505 ,3641 ,Hong Kong,1997 ,5 ,Guangdong Jiangmen,South China WMI
Container,Han Se,215 ,TEU,4505 ,3100 ,South Korea,1997 ,5 ,Dae Sun S.B.,Hanjin Group
Container,Anda,279 ,TEU,4465 ,3532 ,Indonesia,1993 ,7 ,Jiang Zhou,PT Pelayaran Caraka
Container,Grake,182 ,TEU,4456 ,3451 ,South Korea,1972 ,,Mie S.B. Co.,Korea Express Co.Ltd
Container,Princess Maria,348 ,TEU,4449 ,3622 ,Comoro Islands,1977 ,6 ,J. J. Sietas,Alfamarine Shipping
Container,Nasico Ocean,260 ,TEU,4439 ,3674 ,Vietnam,2011 ,11 ,Quang Binh Shipyard,NASICOSHIP
Container,Nasico Sky,260 ,TEU,4439 ,3674 ,Vietnam,2011 ,12 ,Quang Binh Shipyard,NASICOSHIP
Container,West Ocean 3,397 ,TEU,4432 ,2749 ,Philippines,1970 ,,Shin Kurushima,2Go Group
Container,Woory Star 2,200 ,TEU,4385 ,3550 ,Panama,1988 ,12 ,Dae Sun S.B.,Hong Kong Haian
Container,Pola Bay,172 ,TEU,4383 ,2918 ,Philippines,1970 ,,Tsuneishi Zosen,Lorenzo Shpg. Corp.
Container,Sinar Demak,265 ,TEU,4380 ,2647 ,Indonesia,2006 ,8 ,PT Dok Surabaya,Samudera Indonesia
Container,Sinar Jambi,265 ,TEU,4380 ,2647 ,Indonesia,2006 ,4 ,PT Dok Surabaya,Samudera Indonesia
Container,Sinar Padang,241 ,TEU,4380 ,2691 ,Indonesia,2007 ,3 ,PT Dok Surabaya,Samudera Indonesia
Container,Sinar Panjang,241 ,TEU,4380 ,2647 ,Indonesia,2007 ,1 ,PT Dok Surabaya,Samudera Indonesia
Container,Cam Ranh 07,225 ,TEU,4350 ,3985 ,Vietnam,2010 ,12 ,Hyundai Vinashin,Southern Shipbuildin
Container,Systemindo Perdana,296 ,TEU,4336 ,3979 ,Indonesia,1981 ,,Appledore SB,Systemindo Container
Container,Qi Da Hao,672 ,TEU,4336 ,4151 ,Belize,1996 ,12 ,CSC Jinling Shipyard,Wuhan Longxun
Container,Tanto Abadi,270 ,TEU,4323 ,3537 ,Indonesia,1994 ,9 ,Jiang Zhou,Tanto Intim Line
Container,Cosmos,150 ,TEU,4314 ,2584 ,Indonesia,1973 ,,Yamanishi Zosen,KMTC
Container,Geniki Johor,300 ,TEU,4300 ,3491 ,Malaysia,2003 ,10 ,Wuhan Nanhua HJ,Leadbetter Sdn Bhd
Container,Fortune Express,354 ,TEU,4250 ,3790 ,Panama,1985 ,12 ,Nieuwe Noord,Nav Tech FZC
Container,Akashia,250 ,TEU,4202 ,2979 ,Indonesia,2007 ,11 ,Wenling Yongli,Salam Pacific
Container,Explorador,403 ,TEU,4200 ,4984 ,Paraguay,1970 ,12 ,Van Der Werf,Metz Container Line
Container,JML Abadi,208 ,TEU,4180 ,3508 ,Indonesia,1998 ,8 ,PT Dok Surabaya,Jaya Bersama Makmur
Container,Cirebon Caraka Jaya Niaga III-36,208 ,TEU,4180 ,3508 ,Indonesia,1998 ,8 ,Jasa Indah,Djakarta Lloyd
Container,Lhokseumawe Caraka Jaya Niaga,208 ,TEU,4180 ,3401 ,Indonesia,1998 ,8 ,Inggom Shipyard,Djakarta Lloyd
Container,Mercury Ruby,208 ,TEU,4180 ,3401 ,Mongolia,1998 ,8 ,P.T. Iki,Bintang Mas Shipping
Container,JM Dragon 1,208 ,TEU,4180 ,3508 ,Indonesia,1998 ,8 ,P.T. Dumas,Djakarta Lloyd
Container,Sinar Palawan,208 ,TEU,4180 ,3401 ,Indonesia,1999 ,1 ,Noahtu S/yard,Djakarta Lloyd
Container,Palembang Caraka Jaya Niaga III-37,208 ,TEU,4180 ,3401 ,Indonesia,1998 ,3 ,Intan Sengkunyit,Djakarta Lloyd
Container,Caraka Jaya III-Muli Anim,200 ,TEU,4180 ,3258 ,Indonesia,2004 ,5 ,PT PAL Indonesia,Salam Pacific
Container,Han Po,233 ,TEU,4174 ,3099 ,South Korea,1995 ,11 ,Dae Sun S.B.,Hanjin Group
Container,Jaohar Adam,374 ,TEU,4155 ,3815 ,Togo,1991 ,5 ,J. J. Sietas,Jaohar UK
Container,Melis,305 ,TEU,4150 ,3632 ,Panama,1982 ,,Lindenau,Burak Denizcilik
Container,Hansung Incheon,450 ,TEU,4150 ,5818 ,South Korea,1997 ,3 ,Naikai Zosen Setoda,Sinokor Merchant
Container,Lotus,132 ,TEU,4135 ,2430 ,Papua New Guinea,1975 ,,Yamanishi Zosen,Hub Shipping
Container,Lian Ying 38,136 ,TEU,4123 ,2591 ,Peoples' Republic of China,2005 ,12 ,Guangzhou Southern,Zhuhai Qiao
Container,Mero Star,356 ,TEU,4110 ,3780 ,Sierra Leone,1983 ,10 ,J. J. Sietas,El Reedy Shpg Agency
Container,Asian Friendship,262 ,TEU,4086 ,3701 ,Indonesia,1980 ,,Dae Sun S.B.,Salam Pacific
Container,Sheng An Da 12,300 ,TEU,4081 ,2986 ,Peoples' Republic of China,2008 ,3 ,Guangzhou Yamen,Qinzhou Guiqing
Container,Sumatera Fortune,210 ,TEU,4028 ,4086 ,Indonesia,1979 ,1 ,Usuki Zosensho,Kris Sdn. Bhd.
Container,Icon Perdana,192 ,TEU,4000 ,2715 ,Indonesia,1999 ,9 ,Moxen Shipyard,Indo Container Lines
Container,Progress 3,240 ,TEU,3993 ,2655 ,Malaysia,1978 ,1 ,Maritima Musel,PDZ Holding Bhd
Container,Smyrna,327 ,TEU,3978 ,3796 ,Vanuatu,1996 ,7 ,Jiangsu Yangzijiang,Westberg Ltd
Container,Clover,128 ,TEU,3953 ,2436 ,Indonesia,1973 ,5 ,Yamanishi Zosen,Salam Pacific
Container,Pl Hau Laam,340 ,TEU,3950 ,2899 ,Panama,1995 ,3 ,Elbewerft GmbH,Ocean Grow
Container,Thea II,340 ,TEU,3950 ,2899 ,Antigua & Barbuda,1995 ,6 ,Elbewerft GmbH,"Schepers, Thekla"
Container,Sepher Payam,340 ,TEU,3950 ,2899 ,Panama,1995 ,9 ,Elbewerft GmbH,Star Shell Gen Trd
Container,Marus,340 ,TEU,3950 ,2833 ,Antigua & Barbuda,1996 ,3 ,Elbewerft GmbH,Rohden Shipmngt
