Type,Name,Size,Unit,Dwt,GT,Flag,Built,Month,Builder,OwnerGroup
Container,Acapulco,1162 ,TEU,14148 ,10730 ,Singapore,1996 ,5 ,Stocz. Szczecin,Lagoa Shipping Corp.
Container,Amazon,1158 ,TEU,14140 ,11998 ,Indonesia,1991 ,12 ,Mathias Thesen,Salam Pacific
Container,Madison,1158 ,TEU,14140 ,11998 ,Indonesia,1990 ,7 ,Mathias Thesen,Salam Pacific
Container,Border,1156 ,TEU,14120 ,10736 ,Antigua & Barbuda,1993 ,9 ,Stocz. Szczecin,Spirit of Africa S.
Container,Osman Prince,1006 ,TEU,14120 ,10733 ,Moldova,1984 ,11 ,Werft Nobiskrug,IMS Hellenic
Container,Petalidi,1152 ,TEU,14111 ,10742 ,Liberia,1993 ,12 ,Stocz. Szczecin,Costamare Shipping
Container,Sai Sunrise,1020 ,TEU,14101 ,11982 ,Panama,1989 ,8 ,Mathias Thesen,Lilly Maritime
Container,Zagora,1162 ,TEU,14100 ,10795 ,Malta,1995 ,7 ,Stocz. Szczecin,Costamare Shipping
Container,MSC Belle,1098 ,TEU,14100 ,12044 ,Malta,1998 ,12 ,Tianjin Xingang HI,MSC
Container,X-Press Yamuna,1162 ,TEU,14086 ,10752 ,Singapore,1998 ,5 ,Stocz. Szczecin,Sea Consortium
Container,Rijnborg,1700 ,TEU,14085 ,16506 ,Netherlands,2006 ,12 ,IHC Merwede,Wagenborg Shipping
Container,Lily Queen,1162 ,TEU,14080 ,10749 ,Liberia,1995 ,6 ,Stocz. Szczecin,Unknown
Container,MTT Tawau,1162 ,TEU,14077 ,10743 ,Malaysia,1997 ,8 ,Stocz. Szczecin,MTT Shipping
Container,Venus,1098 ,TEU,14065 ,12004 ,St. Kitts & Nevis,1999 ,7 ,Tianjin Xingang HI,Vega-Reederei
Container,X-Press Brahmaputra,1162 ,TEU,14040 ,10752 ,Singapore,1998 ,6 ,Stocz. Szczecin,Sea Consortium
Container,Sunny Lily,1060 ,TEU,14000 ,9988 ,Marshall Islands,2014 ,4 ,Hyundai Mipo,Dong-A Tanker Co
Container,Sunny Cosmos,1060 ,TEU,14000 ,9988 ,Marshall Islands,2014 ,4 ,Hyundai Mipo,Dong-A Tanker Co
Container,Glory Fortune,1118 ,TEU,13979 ,9966 ,Hong Kong,2006 ,12 ,CSC Jinling Shipyard,SIPG
Container,Julia Srey Nak,1100 ,TEU,13951 ,9910 ,Antigua & Barbuda,2005 ,9 ,Aker Tulcea,Gebruder Winter
Container,Al Bazm-II,1060 ,TEU,13944 ,11173 ,Liberia,2011 ,3 ,Hyundai Mipo,ADNOC
Container,Al Sadr-I,1060 ,TEU,13944 ,11173 ,Liberia,2011 ,5 ,Hyundai Mipo,ADNOC
Container,Magnus F,1083 ,TEU,13916 ,9966 ,Antigua & Barbuda,2006 ,3 ,CSC Jinling Shipyard,"Freese, Reederei"
Container,Turnberry Kontor,1118 ,TEU,13856 ,9940 ,Marshall Islands,2008 ,1 ,CSC Qingshan SY,Rickmers Group
Container,Anan Bhum,1018 ,TEU,13825 ,9675 ,Thailand,1995 ,12 ,Singapore SB,Regional Cont. Lines
Container,Bani Bhum,1018 ,TEU,13825 ,9675 ,Thailand,1996 ,3 ,Singapore SB,Regional Cont. Lines
Container,Sainty Vogue,1073 ,TEU,13800 ,11716 ,Marshall Islands,2013 ,10 ,Sainty SB (Yangzhou),Sainty Marine
Container,Tabago Bay,1100 ,TEU,13781 ,9957 ,Liberia,2007 ,10 ,Taizhou Kouan SB,NSC Schiffahrt
Container,Sinar Bima,1118 ,TEU,13760 ,9966 ,Singapore,2008 ,1 ,Taizhou Kouan SB,Samudera Indonesia
Container,Vega Azurit,1100 ,TEU,13760 ,9966 ,Liberia,2008 ,4 ,Taizhou Kouan SB,Vega-Reederei
Container,Caribbean Voyager,1118 ,TEU,13760 ,9966 ,Antigua & Barbuda,2008 ,7 ,CSC Jinling Shipyard,W. Bockstiegel
Container,Pacific Trader,1118 ,TEU,13760 ,9966 ,Cyprus,2008 ,8 ,CSC Jinling Shipyard,W. Bockstiegel
Container,AHS Hamburg,1118 ,TEU,13760 ,9966 ,Antigua & Barbuda,2008 ,9 ,CSC Jinling Shipyard,Carsten Rehder
Container,Seaboard Ocean,1114 ,TEU,13760 ,9900 ,Liberia,2008 ,10 ,Sinopacific Dayang,Hartmann AG
Container,Seaboard Ranger,1114 ,TEU,13760 ,9900 ,Liberia,2009 ,8 ,Sinopacific Dayang,Hartmann AG
Container,Pine Valley Kontor,1118 ,TEU,13760 ,9912 ,Marshall Islands,2008 ,5 ,CSC Qingshan SY,Rickmers Group
Container,Shayan 1,1118 ,TEU,13760 ,9957 ,Iran,2008 ,11 ,CSC Jinling Shipyard,HDS Lines
Container,Yaran,1118 ,TEU,13760 ,9957 ,Iran,2009 ,2 ,CSC Jinling Shipyard,HDS Lines
Container,Pearl River,1118 ,TEU,13760 ,9990 ,Cyprus,2008 ,6 ,CSC Qingshan SY,JR Shipping B.V.
Container,Mekong River,1118 ,TEU,13760 ,9990 ,Cyprus,2008 ,11 ,CSC Qingshan SY,JR Shipping B.V.
Container,Amur River,1118 ,TEU,13760 ,9990 ,Cyprus,2009 ,3 ,CSC Qingshan SY,JR Shipping B.V.
