"","gid","g.lon","g.lat","CO2","PM2.5","SOx","NOx"
"17129","123.56_30.3",123.56,30.3,6.085126,0.008344916,0.06236928,0.1105779
"17130","123.56_30.31",123.56,30.31,7.495846,0.01106644,0.07762843,0.1411931
"17131","123.57_30.31",123.57,30.31,3.367655,0.004967143,0.03611108,0.06310738
"17132","123.58_30.32",123.58,30.32,4.109376,0.005897557,0.04380813,0.07563316
"17133","123.59_30.32",123.59,30.32,2.518458,0.003717018,0.02629674,0.04736771
"17134","123.59_30.33",123.59,30.33,1.490627,0.002134267,0.0156331,0.02740856
"17135","123.6_30.33",123.6,30.33,4.089444,0.006037991,0.04381071,0.0764496
"17136","123.61_30.33",123.61,30.33,3.319125,0.005329124,0.03707264,0.0645896
"17137","123.61_30.34",123.61,30.34,3.527878,0.005560377,0.03886461,0.06792645
"17138","123.62_30.34",123.62,30.34,1.403479,0.002095345,0.01437917,0.02655198
"17139","123.62_30.35",123.62,30.35,1.013667,0.001456347,0.0110536,0.01853498
"17140","123.63_30.35",123.63,30.35,3.076634,0.004590568,0.03309139,0.05781411
"17141","123.64_30.35",123.64,30.35,2.726226,0.004019246,0.02897704,0.05126429
"17142","123.64_30.36",123.64,30.36,43.25531,0.0595487,0.4457671,0.7850756
"17143","123.65_30.36",123.65,30.36,2.572928,0.003929143,0.03069891,0.04850683
"17144","123.65_30.37",123.65,30.37,2.125273,0.00269879,0.02005101,0.03733769
"17145","123.66_30.37",123.66,30.37,4.558972,0.006563018,0.04939054,0.08406046
"17146","123.67_30.37",123.67,30.37,2.296093,0.003400986,0.02502176,0.04295122
"17147","123.67_30.38",123.67,30.38,3.057995,0.00422148,0.0312039,0.05515292
"17148","123.68_30.38",123.68,30.38,2.605715,0.003855532,0.02843853,0.04865347
"17149","123.69_30.39",123.69,30.39,1.706728,0.002369478,0.0172827,0.03105473
"17150","123.7_30.39",123.7,30.39,2.083183,0.003026669,0.02116015,0.03893271
"17151","123.71_30.4",123.71,30.4,4.264814,0.006420368,0.04754626,0.08002385
"17152","123.72_30.41",123.72,30.41,NA,NA,NA,NA
"17153","123.73_30.41",123.73,30.41,NA,NA,NA,NA
"17154","123.75_30.43",123.75,30.43,2.191053,0.002595172,0.01976998,0.03744596
"17155","123.77_30.44",123.77,30.44,1.162431,0.001767443,0.01363729,0.02187205
"17156","123.78_30.44",123.78,30.44,NA,NA,NA,NA
"17157","123.78_30.45",123.78,30.45,2.272404,0.003423082,0.0256967,0.0426695
"17158","123.79_30.45",123.79,30.45,NA,NA,NA,NA
"17159","123.82_30.47",123.82,30.47,1.710836,0.002457951,0.02061995,0.03140508
"17160","123.83_30.47",123.83,30.47,0.4316658,0.000666528,0.005363956,0.008121719
"17161","123.16_29.84",123.16,29.84,NA,NA,NA,NA
"17162","123.16_29.92",123.16,29.92,122.2408,0.1671143,1.322255,2.204657
"17163","123.2_30.2",123.2,30.2,NA,NA,NA,NA
"17164","123.12_30.84",123.12,30.84,NA,NA,NA,NA
"17165","123.24_30.08",123.24,30.08,NA,NA,NA,NA
"17166","123.24_30.12",123.24,30.12,177.8628,0.2528592,1.935368,3.28233
"17167","123.28_30.12",123.28,30.12,NA,NA,NA,NA
"17168","123.32_30.12",123.32,30.12,101.0006,0.1430602,1.056062,1.858146
"17169","123.32_30.16",123.32,30.16,94.98524,0.1382353,1.017228,1.770052
"17170","123.36_30.16",123.36,30.16,53.37258,0.07473443,0.516611,0.9864909
"17171","123.36_30.2",123.36,30.2,51.23731,0.06946719,0.510534,0.9268626
"17172","123.44_30.2",123.44,30.2,57.81666,0.08206067,0.5738656,1.068906
"17173","123.44_30.24",123.44,30.24,55.22539,0.0785705,0.5622058,1.021333
"17174","123.48_30.24",123.48,30.24,51.33849,0.07347958,0.5188349,0.9508613
"17175","123.48_30.28",123.48,30.28,51.51836,0.06824238,0.4873501,0.9210113
"17176","123.52_30.28",123.52,30.28,62.93819,0.08775669,0.6379947,1.152576
"17177","123.56_30.28",123.56,30.28,65.78684,0.09622414,0.6764853,1.230365
"17178","123.56_30.32",123.56,30.32,63.00633,0.08660938,0.6496271,1.144352
"17179","123.6_30.32",123.6,30.32,45.04234,0.06593828,0.4666759,0.841932
"17180","123.64_30.32",123.64,30.32,56.9089,0.08859501,0.6269542,1.089358
"17181","123.68_30.36",123.68,30.36,NA,NA,NA,NA
"17182","123.68_30.4",123.68,30.4,39.96996,0.05642889,0.423904,0.73167
"17183","123.72_30.4",123.72,30.4,NA,NA,NA,NA
"17184","123.76_30.44",123.76,30.44,NA,NA,NA,NA
"17185","123.8_30.44",123.8,30.44,NA,NA,NA,NA
"17186","122.81_30.68",122.81,30.68,NA,NA,NA,NA
"17187","122.82_30.68",122.82,30.68,NA,NA,NA,NA
"17188","122.81_30.69",122.81,30.69,2.916582,0.003649312,0.02623428,0.05146098
"17189","122.8_30.68",122.8,30.68,NA,NA,NA,NA
"17190","122.8_30.67",122.8,30.67,NA,NA,NA,NA
"17191","122.79_30.67",122.79,30.67,NA,NA,NA,NA
"17192","122.79_30.66",122.79,30.66,14.65134,0.01793079,0.1271594,0.2548941
"17193","122.77_30.66",122.77,30.66,6.078113,0.007026939,0.04822173,0.1041215
"17194","122.77_30.65",122.77,30.65,NA,NA,NA,NA
"17195","122.76_30.65",122.76,30.65,NA,NA,NA,NA
"17196","122.75_30.64",122.75,30.64,NA,NA,NA,NA
"17197","122.74_30.63",122.74,30.63,NA,NA,NA,NA
"17198","122.73_30.63",122.73,30.63,NA,NA,NA,NA
"17199","122.72_30.63",122.72,30.63,NA,NA,NA,NA
"17200","122.69_30.63",122.69,30.63,11.12383,0.0136573,0.09769998,0.1940802
"17201","122.69_30.62",122.69,30.62,17.13941,0.01868675,0.1409949,0.2846419
"17202","122.69_30.61",122.69,30.61,NA,NA,NA,NA
"17203","122.69_30.6",122.69,30.6,19.99498,0.0236221,0.1812362,0.3406019
"17204","122.68_30.59",122.68,30.59,NA,NA,NA,NA
"17205","122.68_30.58",122.68,30.58,NA,NA,NA,NA
"17206","122.75_29.83",122.75,29.83,NA,NA,NA,NA
"17207","122.73_29.82",122.73,29.82,NA,NA,NA,NA
"17208","122.55_29.36",122.55,29.36,NA,NA,NA,NA
"17209","122.55_29.33",122.55,29.33,NA,NA,NA,NA
"17210","121.75_27.79",121.75,27.79,5.624575,0.00850119,0.06473972,0.1066567
"17211","121.76_27.81",121.76,27.81,7.410881,0.01171663,0.08470635,0.1447615
"17212","121.82_27.96",121.82,27.96,NA,NA,NA,NA
"17213","121.82_27.98",121.82,27.98,3.04541,0.004107343,0.03112194,0.05499627
"17214","121.82_27.99",121.82,27.99,2.670043,0.003811666,0.02770446,0.04958682
"17215","121.85_28.02",121.85,28.02,1.986438,0.002817354,0.019972,0.03707584
"17216","121.95_28.14",121.95,28.14,2.720826,0.004465409,0.0299271,0.05439741
"17217","121.95_28.15",121.95,28.15,3.399163,0.005332673,0.03281779,0.06729642
"17218","122.19_28.48",122.19,28.48,5.588933,0.008600315,0.06351405,0.107653
"17219","122.28_28.55",122.28,28.55,NA,NA,NA,NA
"17220","122.38_28.68",122.38,28.68,NA,NA,NA,NA
"17221","122.39_28.69",122.39,28.69,9.280174,0.0125334,0.09123928,0.1674116
"17222","122.4_28.7",122.4,28.7,10.63876,0.01527863,0.1129213,0.1963939
"17223","122.41_28.71",122.41,28.71,9.54673,0.01412648,0.1039394,0.1785127
"17224","122.48_28.82",122.48,28.82,NA,NA,NA,NA
"17225","122.53_28.93",122.53,28.93,NA,NA,NA,NA
"17226","122.55_28.99",122.55,28.99,NA,NA,NA,NA
"17227","122.55_29.07",122.55,29.07,NA,NA,NA,NA
"17228","122.55_29.13",122.55,29.13,10.97649,0.01542257,0.1136438,0.201532
"17229","122.56_29.23",122.56,29.23,15.98325,0.02239819,0.1691456,0.2925535
"17230","122.56_29.4",122.56,29.4,NA,NA,NA,NA
"17231","122.8_29.9",122.8,29.9,NA,NA,NA,NA
"17232","122.83_30.09",122.83,30.09,NA,NA,NA,NA
"17233","122.84_30.27",122.84,30.27,15.46261,0.02036678,0.1678175,0.2757611
"17234","123.3_30.66",123.3,30.66,NA,NA,NA,NA
"17235","123.36_30.67",123.36,30.67,NA,NA,NA,NA
"17236","123.47_30.68",123.47,30.68,2.50449,0.002890911,0.0221634,0.04235772
"17237","123.54_30.69",123.54,30.69,4.338738,0.005481339,0.04122777,0.07609785
"17238","123.65_30.7",123.65,30.7,1.631269,0.002147158,0.01613164,0.02901595
"17239","123.68_30.71",123.68,30.71,1.453155,0.001819262,0.01468803,0.02528549
"17240","123.78_30.79",123.78,30.79,0.9159319,0.001187547,0.009340078,0.0162812
"17241","123.85_30.88",123.85,30.88,1.84414,0.002484584,0.01828931,0.03339496
"17242","123.86_30.88",123.86,30.88,2.085305,0.002641201,0.01971649,0.03653702
"17243","121.68_27.74",121.68,27.74,5.373854,0.008572936,0.06056142,0.1060332
"17244","121.69_27.76",121.69,27.76,5.778953,0.009024161,0.06399716,0.1127428
"17245","121.76_27.85",121.76,27.85,7.234971,0.01044271,0.07606825,0.1359626
"17246","121.77_27.87",121.77,27.87,NA,NA,NA,NA
"17247","121.78_27.91",121.78,27.91,6.573,0.009335771,0.06867982,0.1218268
"17248","121.79_27.92",121.79,27.92,7.54204,0.01163205,0.0853981,0.1453422
"17249","121.8_27.93",121.8,27.93,13.56289,0.02200939,0.154494,0.2685635
"17250","121.82_27.94",121.82,27.94,NA,NA,NA,NA
"17251","121.9_28.02",121.9,28.02,5.774938,0.008691149,0.06529772,0.1105129
"17252","121.9_28.03",121.9,28.03,5.36948,0.008410223,0.06211544,0.104483
"17253","122.53_29.41",122.53,29.41,38.32356,0.04911723,0.3703178,0.6773466
"17254","122.97_30.25",122.97,30.25,25.07763,0.03574758,0.2686939,0.4592499
"17255","122.97_30.26",122.97,30.26,26.90464,0.03842857,0.2808054,0.4954432
"17256","122.96_30.27",122.96,30.27,NA,NA,NA,NA
"17257","122.93_30.32",122.93,30.32,NA,NA,NA,NA
"17258","123.09_30.6",123.09,30.6,NA,NA,NA,NA
"17259","123.1_30.6",123.1,30.6,NA,NA,NA,NA
"17260","123.13_30.6",123.13,30.6,24.29885,0.03160705,0.2247128,0.4331821
"17261","123.19_30.61",123.19,30.61,NA,NA,NA,NA
"17262","123.22_30.61",123.22,30.61,NA,NA,NA,NA
"17263","123.24_30.61",123.24,30.61,23.86511,0.03431506,0.2574813,0.4441117
"17264","123.25_30.61",123.25,30.61,13.27517,0.01819879,0.1399345,0.2409259
"17265","123.27_30.61",123.27,30.61,8.407654,0.0108128,0.08398545,0.1485287
"17266","122.8_30.64",122.8,30.64,NA,NA,NA,NA
"17267","123.28_30.64",123.28,30.64,NA,NA,NA,NA
"17268","123.64_30.68",123.64,30.68,23.56931,0.03003985,0.2430569,0.4125147
"17269","123.84_30.88",123.84,30.88,11.47035,0.01603764,0.1273411,0.2095353
"17270","122.75_31.04",122.75,31.04,40.593,0.05335344,0.4222584,0.7216832
"17271","122.85_30.89",122.85,30.89,18.77822,0.02395432,0.183575,0.3304977
"17272","122.86_30.88",122.86,30.88,17.44446,0.02388642,0.1729208,0.3180455
"17273","122.86_30.87",122.86,30.87,NA,NA,NA,NA
"17274","122.87_30.86",122.87,30.86,24.24994,0.0313839,0.2370316,0.4299702
"17275","122.95_30.14",122.95,30.14,NA,NA,NA,NA
"17276","122.95_30.13",122.95,30.13,9.320999,0.01204612,0.09423739,0.1643209
"17277","122.94_30.13",122.94,30.13,4.392528,0.006315079,0.04711752,0.08141574
"17278","122.9_30.1",122.9,30.1,1.900857,0.002730009,0.01980454,0.03519399
"17279","122.9_30.09",122.9,30.09,2.336551,0.00320327,0.02211039,0.04258986
"17280","122.89_30.09",122.89,30.09,2.453009,0.003380785,0.02718432,0.04416897
"17281","122.85_30.06",122.85,30.06,NA,NA,NA,NA
"17282","122.84_30.05",122.84,30.05,NA,NA,NA,NA
"17283","122.83_30.04",122.83,30.04,NA,NA,NA,NA
"17284","122.82_30.03",122.82,30.03,NA,NA,NA,NA
"17285","122.8_30.01",122.8,30.01,NA,NA,NA,NA
"17286","122.78_30",122.78,30,NA,NA,NA,NA
"17287","122.71_29.92",122.71,29.92,NA,NA,NA,NA
"17288","121.96_29.99",121.96,29.99,18.31553,0.0220751,0.1694263,0.3155732
"17289","121.95_29.99",121.95,29.99,15.70944,0.01757586,0.1457548,0.2631022
"17290","122.55_29.34",122.55,29.34,NA,NA,NA,NA
"17291","122.55_29.29",122.55,29.29,NA,NA,NA,NA
"17292","122.55_29.27",122.55,29.27,NA,NA,NA,NA
"17293","122.55_29.24",122.55,29.24,20.00189,0.02749784,0.1953851,0.3659865
"17294","122.55_29.23",122.55,29.23,22.03558,0.03106973,0.2238533,0.4057703
"17295","122.55_29.22",122.55,29.22,22.82973,0.03255523,0.2315399,0.4235304
"17296","122.56_29.21",122.56,29.21,NA,NA,NA,NA
"17297","122.56_29.14",122.56,29.14,7.768113,0.01130745,0.08514927,0.1445332
"17298","122.84_29.39",122.84,29.39,10.31522,0.01505903,0.1190858,0.1911843
"17299","122.85_29.42",122.85,29.42,14.06521,0.02064001,0.1568854,0.2631227
"17300","122.86_29.51",122.86,29.51,20.54021,0.02978709,0.2213382,0.3808675
"17301","122.86_29.52",122.86,29.52,26.49213,0.03956431,0.2861654,0.4982063
"17302","122.87_29.53",122.87,29.53,24.39241,0.0343403,0.2542825,0.4461546
"17303","122.93_29.86",122.93,29.86,NA,NA,NA,NA
"17304","122.49_31.15",122.49,31.15,13.4247,0.01532206,0.1159534,0.2272579
"17305","122.74_29.94",122.74,29.94,38.62727,0.05081495,0.3946098,0.6886599
"17306","122.69_29.9",122.69,29.9,NA,NA,NA,NA
"17307","122.53_29.19",122.53,29.19,NA,NA,NA,NA
"17308","122.54_29.12",122.54,29.12,NA,NA,NA,NA
"17309","121.77_27.81",121.77,27.81,3.531217,0.005324805,0.0403515,0.06686132
"17310","121.77_27.82",121.77,27.82,5.893358,0.009076662,0.06711598,0.1132681
"17311","121.78_27.82",121.78,27.82,5.873741,0.008475197,0.06746486,0.1088328
"17312","121.78_27.83",121.78,27.83,4.51343,0.006863598,0.05099357,0.08613159
"17313","121.78_27.84",121.78,27.84,6.54825,0.01059012,0.07637181,0.1290833
"17314","121.79_27.85",121.79,27.85,6.76929,0.01051197,0.07823621,0.1305275
"17315","121.81_27.87",121.81,27.87,3.323574,0.004780912,0.03635979,0.06202877
"17316","121.82_27.88",121.82,27.88,2.953381,0.004260871,0.03139551,0.05536946
"17317","121.82_27.9",121.82,27.9,8.952021,0.01424167,0.1026075,0.1754755
"17318","121.83_27.91",121.83,27.91,8.835389,0.01397785,0.09965696,0.1727563
"17319","121.84_27.93",121.84,27.93,19.24951,0.0299518,0.2144491,0.3731607
"17320","121.85_27.93",121.85,27.93,18.88588,0.02865634,0.2064901,0.3615359
"17321","121.85_27.94",121.85,27.94,7.044876,0.01109106,0.0759281,0.138086
"17322","121.86_27.95",121.86,27.95,6.892717,0.01036543,0.07516353,0.1317035
"17323","121.87_27.97",121.87,27.97,6.759384,0.01038312,0.07451023,0.1307903
"17324","121.88_27.99",121.88,27.99,6.252896,0.009584166,0.07112311,0.1207413
"17325","121.89_28",121.89,28,5.463577,0.008567877,0.05958663,0.1071992
"17326","121.89_28.01",121.89,28.01,5.149998,0.008148842,0.05865763,0.1011491
"17327","121.9_28.01",121.9,28.01,6.222275,0.009865628,0.0708278,0.1222381
"17328","121.92_28.05",121.92,28.05,5.942172,0.009108474,0.0694703,0.1145144
"17329","122.53_29.18",122.53,29.18,NA,NA,NA,NA
"17330","122.55_29.2",122.55,29.2,NA,NA,NA,NA
"17331","122.57_29.22",122.57,29.22,NA,NA,NA,NA
"17332","122.57_29.23",122.57,29.23,NA,NA,NA,NA
"17333","122.58_29.24",122.58,29.24,NA,NA,NA,NA
"17334","122.58_29.25",122.58,29.25,NA,NA,NA,NA
"17335","122.63_29.37",122.63,29.37,8.541744,0.01290959,0.09780242,0.1628351
"17336","122.63_29.38",122.63,29.38,6.110119,0.009358803,0.06833625,0.1158954
"17337","122.63_29.39",122.63,29.39,NA,NA,NA,NA
"17338","122.64_29.39",122.64,29.39,15.11486,0.02175337,0.1655342,0.2798466
"17339","122.64_29.4",122.64,29.4,NA,NA,NA,NA
"17340","122.64_29.41",122.64,29.41,11.53188,0.01703599,0.1219992,0.2180835
"17341","122.66_29.44",122.66,29.44,8.537421,0.01193551,0.09362847,0.1573106
"17342","122.66_29.45",122.66,29.45,4.53984,0.006023609,0.04911337,0.08180659
"17343","122.69_29.49",122.69,29.49,4.063868,0.005545099,0.04597222,0.07313962
"17344","122.69_29.5",122.69,29.5,10.21354,0.01388077,0.1105627,0.1844934
"17345","122.7_29.51",122.7,29.51,5.177227,0.008046528,0.06066062,0.09919316
"17346","122.7_29.52",122.7,29.52,5.564605,0.007841465,0.05947545,0.1026202
"17347","122.71_29.53",122.71,29.53,6.059445,0.008155884,0.06420222,0.1095189
"17348","122.71_29.54",122.71,29.54,13.11843,0.0188693,0.1337305,0.2443405
"17349","122.72_29.54",122.72,29.54,1.221472,0.001458588,0.01115991,0.02108119
"17350","122.72_29.55",122.72,29.55,4.884431,0.007417204,0.05806929,0.09344479
"17351","122.74_29.58",122.74,29.58,NA,NA,NA,NA
"17352","122.74_29.59",122.74,29.59,NA,NA,NA,NA
"17353","122.75_29.59",122.75,29.59,NA,NA,NA,NA
"17354","122.75_29.6",122.75,29.6,NA,NA,NA,NA
"17355","122.76_29.61",122.76,29.61,NA,NA,NA,NA
"17356","122.76_29.62",122.76,29.62,1.001883,0.001220867,0.009045877,0.01733897
"17357","122.77_29.63",122.77,29.63,6.417367,0.009885178,0.06704553,0.1238066
"17358","122.77_29.64",122.77,29.64,3.25744,0.004778792,0.03458665,0.06066812
"17359","122.79_29.68",122.79,29.68,NA,NA,NA,NA
"17360","122.81_29.71",122.81,29.71,22.5967,0.03145049,0.2287894,0.4144947
"17361","122.81_29.72",122.81,29.72,20.26797,0.02706474,0.2057119,0.3637124
"17362","122.81_29.73",122.81,29.73,24.2567,0.03162003,0.2308801,0.4314977
"17363","122.82_29.75",122.82,29.75,18.53024,0.02548579,0.1881014,0.3371583
"17364","122.84_29.79",122.84,29.79,25.51453,0.03385487,0.2463531,0.4569516
"17365","122.87_29.86",122.87,29.86,NA,NA,NA,NA
"17366","123_30.33",123,30.33,50.66158,0.07287491,0.5552378,0.9441733
"17367","123_30.34",123,30.34,44.62374,0.06405399,0.4882776,0.8320781
"17368","122.97_30.53",122.97,30.53,28.06099,0.04046718,0.3065374,0.5192119
"17369","122.97_30.54",122.97,30.54,24.57099,0.03424477,0.2656641,0.4477276
"17370","121.72_27.74",121.72,27.74,5.071771,0.007206419,0.05728005,0.09351866
"17371","121.74_27.77",121.74,27.77,4.218749,0.006121502,0.04713274,0.07864877
"17372","121.75_27.78",121.75,27.78,3.696184,0.005479902,0.04128949,0.07004976
"17373","121.76_27.79",121.76,27.79,6.670235,0.009796887,0.07486236,0.125905
"17374","121.8_27.86",121.8,27.86,6.391693,0.009551789,0.07140803,0.1212414
"17375","121.81_27.9",121.81,27.9,14.33479,0.02222715,0.1578653,0.2770921
"17376","121.82_27.91",121.82,27.91,17.18536,0.02670816,0.1884232,0.331305
"17377","121.82_27.92",121.82,27.92,8.28652,0.01282506,0.09540767,0.1598011
"17378","121.83_27.93",121.83,27.93,26.96499,0.04211899,0.3091829,0.5226866
"17379","121.84_27.94",121.84,27.94,8.989782,0.0138603,0.100634,0.1738451
"17380","121.84_27.95",121.84,27.95,4.787355,0.007703306,0.05524525,0.09471963
"17381","121.85_27.96",121.85,27.96,4.2754,0.006754746,0.04480204,0.08470117
"17382","121.86_27.97",121.86,27.97,3.963865,0.006361821,0.04612578,0.07849475
"17383","121.86_27.98",121.86,27.98,4.133648,0.006278511,0.04751346,0.07946625
"17384","121.87_27.99",121.87,27.99,4.065076,0.006271581,0.04627547,0.07866893
"17385","121.91_28.03",121.91,28.03,7.554315,0.01181338,0.08191836,0.1481924
"17386","121.91_28.04",121.91,28.04,5.069481,0.007820652,0.05636663,0.09871938
"17387","121.93_28.05",121.93,28.05,6.743109,0.010667,0.07300349,0.1328411
"17388","121.93_28.06",121.93,28.06,5.174494,0.008134531,0.05709078,0.1016884
"17389","121.94_28.06",121.94,28.06,6.521673,0.009944779,0.07252197,0.1253678
"17390","121.94_28.07",121.94,28.07,5.689174,0.00890642,0.06460884,0.1108337
"17391","121.95_28.08",121.95,28.08,6.384019,0.00990057,0.07217261,0.1236903
"17392","121.99_28.13",121.99,28.13,6.651299,0.01012408,0.07600126,0.1274403
"17393","121.99_28.14",121.99,28.14,5.435467,0.008135829,0.06082266,0.1036768
"17394","122_28.15",122,28.15,5.506497,0.008058194,0.06220197,0.103585
"17395","122.01_28.17",122.01,28.17,5.562833,0.008406458,0.06294627,0.1063018
"17396","122.01_28.18",122.01,28.18,6.781104,0.0103848,0.07753822,0.1306252
"17397","122.02_28.19",122.02,28.19,6.168837,0.009761569,0.07015777,0.1209174
"17398","122.03_28.2",122.03,28.2,6.02259,0.009355631,0.06780419,0.1166961
"17399","122.03_28.21",122.03,28.21,6.329062,0.009862123,0.0740998,0.122884
"17400","122.04_28.22",122.04,28.22,6.532064,0.01025317,0.07336542,0.127537
"17401","122.04_28.23",122.04,28.23,6.512622,0.01004741,0.07770966,0.125477
"17402","122.05_28.24",122.05,28.24,5.634862,0.00866724,0.0657542,0.1085293
"17403","122.06_28.25",122.06,28.25,6.117455,0.009716466,0.06503515,0.120848
"17404","122.06_28.26",122.06,28.26,7.29591,0.01133199,0.07774669,0.1427774
"17405","122.07_28.27",122.07,28.27,6.928913,0.01052292,0.07886454,0.1324744
"17406","122.1_28.32",122.1,28.32,7.256146,0.01125205,0.07926607,0.1414601
"17407","122.11_28.34",122.11,28.34,7.276237,0.01119934,0.07947777,0.1410236
"17408","122.16_28.43",122.16,28.43,NA,NA,NA,NA
"17409","122.17_28.44",122.17,28.44,NA,NA,NA,NA
"17410","122.25_28.53",122.25,28.53,8.13352,0.01201833,0.08864978,0.1535983
"17411","122.26_28.55",122.26,28.55,8.87532,0.01372267,0.09891085,0.1716123
"17412","122.28_28.58",122.28,28.58,8.46208,0.01283534,0.09438291,0.1623733
"17413","122.29_28.59",122.29,28.59,7.969688,0.01234241,0.08038537,0.1562993
"17414","122.29_28.6",122.29,28.6,9.238147,0.01467021,0.098558,0.1825241
"17415","122.3_28.6",122.3,28.6,9.508642,0.01447363,0.1055517,0.1815256
"17416","122.3_28.61",122.3,28.61,6.982185,0.01075543,0.07781684,0.134594
"17417","122.31_28.61",122.31,28.61,NA,NA,NA,NA
"17418","122.31_28.62",122.31,28.62,NA,NA,NA,NA
"17419","122.31_28.63",122.31,28.63,6.672494,0.01021613,0.07334862,0.1286357
"17420","122.32_28.63",122.32,28.63,NA,NA,NA,NA
"17421","122.34_28.68",122.34,28.68,NA,NA,NA,NA
"17422","122.36_28.69",122.36,28.69,11.03148,0.01632723,0.1156447,0.2085585
"17423","122.39_28.73",122.39,28.73,10.06115,0.01509655,0.1093277,0.1910468
"17424","122.39_28.74",122.39,28.74,9.268644,0.01402174,0.0998014,0.1772522
"17425","122.4_28.74",122.4,28.74,NA,NA,NA,NA
"17426","122.4_28.75",122.4,28.75,12.15087,0.01799037,0.130201,0.2291656
"17427","122.41_28.76",122.41,28.76,NA,NA,NA,NA
"17428","122.41_28.77",122.41,28.77,12.8205,0.0187657,0.140407,0.2398075
"17429","122.41_28.78",122.41,28.78,10.65199,0.01507833,0.1101711,0.1968072
"17430","122.41_28.8",122.41,28.8,8.759605,0.01215881,0.09056971,0.1606864
"17431","122.42_28.8",122.42,28.8,10.85418,0.01513731,0.1146075,0.1983522
"17432","122.42_28.81",122.42,28.81,7.077877,0.009666314,0.07160743,0.1285929
"17433","122.42_28.82",122.42,28.82,9.933389,0.01408932,0.105301,0.1837015
"17434","122.43_28.84",122.43,28.84,9.992979,0.0134689,0.1036707,0.180204
"17435","122.44_28.87",122.44,28.87,13.19762,0.01982999,0.1475499,0.2510021
"17436","122.44_28.89",122.44,28.89,NA,NA,NA,NA
"17437","122.45_28.89",122.45,28.89,11.42856,0.01687569,0.1232128,0.2163325
"17438","122.45_28.9",122.45,28.9,11.97074,0.01657923,0.1218157,0.2197022
"17439","122.45_28.91",122.45,28.91,9.707274,0.01352394,0.1009932,0.1779281
"17440","122.46_28.92",122.46,28.92,NA,NA,NA,NA
"17441","122.46_28.93",122.46,28.93,NA,NA,NA,NA
"17442","122.51_29.05",122.51,29.05,NA,NA,NA,NA
"17443","122.52_29.07",122.52,29.07,NA,NA,NA,NA
"17444","122.53_29.08",122.53,29.08,NA,NA,NA,NA
"17445","122.53_29.09",122.53,29.09,NA,NA,NA,NA
"17446","122.54_29.1",122.54,29.1,NA,NA,NA,NA
"17447","122.54_29.11",122.54,29.11,NA,NA,NA,NA
"17448","122.55_29.12",122.55,29.12,9.234879,0.01287752,0.09564411,0.1689672
"17449","122.56_29.15",122.56,29.15,11.70264,0.01683301,0.1312401,0.2159985
"17450","122.57_29.16",122.57,29.16,13.9472,0.02042904,0.1547622,0.2593502
"17451","122.57_29.17",122.57,29.17,16.24094,0.02354658,0.1748572,0.3022353
"17452","122.57_29.18",122.57,29.18,NA,NA,NA,NA
"17453","122.58_29.18",122.58,29.18,14.83554,0.02041012,0.1567525,0.2692776
"17454","122.58_29.19",122.58,29.19,11.39009,0.01635585,0.1224492,0.2110807
"17455","122.58_29.2",122.58,29.2,11.816,0.0168815,0.1255819,0.2188899
"17456","122.59_29.2",122.59,29.2,15.10411,0.02185774,0.1670271,0.2808116
"17457","122.59_29.21",122.59,29.21,12.39654,0.01788852,0.1353859,0.2305284
"17458","122.59_29.22",122.59,29.22,9.24918,0.01339453,0.09870889,0.1726309
"17459","122.6_29.22",122.6,29.22,23.80447,0.03403111,0.2630382,0.4400372
"17460","122.6_29.23",122.6,29.23,22.5641,0.03043223,0.224668,0.4070069
"17461","122.61_29.25",122.61,29.25,13.26931,0.01727668,0.1277871,0.2364707
"17462","122.61_29.26",122.61,29.26,7.848253,0.009749555,0.07634455,0.1369573
"17463","122.62_29.27",122.62,29.27,4.556472,0.006138504,0.04730047,0.08220459
"17464","122.62_29.28",122.62,29.28,8.417138,0.01165483,0.0888677,0.1531966
"17465","122.62_29.29",122.62,29.29,11.99073,0.01575433,0.1176179,0.2144373
"17466","122.63_29.29",122.63,29.29,4.636586,0.006322984,0.05217512,0.0838272
"17467","122.63_29.3",122.63,29.3,6.264562,0.009045726,0.07133901,0.1167317
"17468","122.63_29.31",122.63,29.31,2.016764,0.002861594,0.02190747,0.03715972
"17469","122.63_29.32",122.63,29.32,5.144003,0.007834662,0.05577728,0.09842128
"17470","122.64_29.33",122.64,29.33,2.13222,0.003012267,0.02257008,0.03934696
"17471","122.64_29.34",122.64,29.34,1.468602,0.002283433,0.0168854,0.02830381
"17472","122.65_29.34",122.65,29.34,NA,NA,NA,NA
"17473","122.65_29.35",122.65,29.35,2.863358,0.004194559,0.03192628,0.0534326
"17474","122.65_29.36",122.65,29.36,4.501398,0.006712127,0.05129702,0.08472392
"17475","122.65_29.37",122.65,29.37,6.311676,0.009121246,0.07274804,0.1173736
"17476","122.66_29.37",122.66,29.37,3.290928,0.004509544,0.03500561,0.05947189
"17477","122.66_29.38",122.66,29.38,7.259008,0.01049742,0.07723594,0.1350118
"17478","122.67_29.41",122.67,29.41,11.0973,0.01623636,0.116082,0.2090742
"17479","122.68_29.42",122.68,29.42,4.850314,0.00754382,0.05614946,0.09381335
"17480","122.68_29.43",122.68,29.43,9.005299,0.01380524,0.1002187,0.1733705
