"","gid","gid","N","lon","lat"
"250","121.574_31.3776","121.574_31.3776",954,121.574,31.3776
"251","121.5739_31.3773","121.5739_31.3773",379,121.5739,31.3773
"252","121.5743_31.3777","121.5743_31.3777",7,121.5743,31.3777
"253","121.5739_31.3774","121.5739_31.3774",579,121.5739,31.3774
"254","121.5738_31.3773","121.5738_31.3773",276,121.5738,31.3773
"255","121.574_31.3773","121.574_31.3773",783,121.574,31.3773
"256","121.5738_31.3775","121.5738_31.3775",4555,121.5738,31.3775
"257","121.5738_31.3774","121.5738_31.3774",400,121.5738,31.3774
"258","121.5737_31.3775","121.5737_31.3775",2162,121.5737,31.3775
"259","121.5744_31.3771","121.5744_31.3771",302,121.5744,31.3771
"260","121.5744_31.3772","121.5744_31.3772",1226,121.5744,31.3772
"261","121.5742_31.3773","121.5742_31.3773",680,121.5742,31.3773
"262","121.5738_31.3776","121.5738_31.3776",3780,121.5738,31.3776
"263","121.5743_31.3776","121.5743_31.3776",51,121.5743,31.3776
"264","121.5743_31.3775","121.5743_31.3775",167,121.5743,31.3775
"265","121.5739_31.3772","121.5739_31.3772",32,121.5739,31.3772
"266","121.5738_31.3772","121.5738_31.3772",16,121.5738,31.3772
"267","121.5737_31.3774","121.5737_31.3774",267,121.5737,31.3774
"268","121.5737_31.3776","121.5737_31.3776",4017,121.5737,31.3776
"269","121.5746_31.3767","121.5746_31.3767",4,121.5746,31.3767
"270","121.5741_31.3772","121.5741_31.3772",173,121.5741,31.3772
"271","121.5742_31.3772","121.5742_31.3772",245,121.5742,31.3772
"272","121.5742_31.3771","121.5742_31.3771",228,121.5742,31.3771
"273","121.5868_31.3718","121.5868_31.3718",10,121.5868,31.3718
"274","121.5869_31.3718","121.5869_31.3718",25,121.5869,31.3718
"275","121.587_31.3722","121.587_31.3722",144,121.587,31.3722
"276","121.5832_31.3736","121.5832_31.3736",909,121.5832,31.3736
"277","121.5831_31.3736","121.5831_31.3736",1108,121.5831,31.3736
"278","121.583_31.3736","121.583_31.3736",2111,121.583,31.3736
"279","121.5831_31.3735","121.5831_31.3735",351,121.5831,31.3735
"280","121.5831_31.3737","121.5831_31.3737",405,121.5831,31.3737
"281","121.583_31.3737","121.583_31.3737",1187,121.583,31.3737
"282","121.5832_31.3735","121.5832_31.3735",919,121.5832,31.3735
"283","121.5829_31.3735","121.5829_31.3735",32,121.5829,31.3735
"284","121.583_31.3735","121.583_31.3735",115,121.583,31.3735
"285","121.5829_31.3738","121.5829_31.3738",507,121.5829,31.3738
"286","121.5843_31.3734","121.5843_31.3734",13,121.5843,31.3734
"287","121.5848_31.373","121.5848_31.373",314,121.5848,31.373
"288","121.5847_31.3731","121.5847_31.3731",186,121.5847,31.3731
"289","121.5856_31.3724","121.5856_31.3724",360,121.5856,31.3724
"290","121.5857_31.3724","121.5857_31.3724",370,121.5857,31.3724
"291","121.5855_31.3724","121.5855_31.3724",225,121.5855,31.3724
"292","121.5853_31.3724","121.5853_31.3724",59,121.5853,31.3724
"293","121.5855_31.3722","121.5855_31.3722",5,121.5855,31.3722
"294","121.5855_31.3725","121.5855_31.3725",738,121.5855,31.3725
"295","121.5855_31.3726","121.5855_31.3726",3307,121.5855,31.3726
"296","121.5854_31.3726","121.5854_31.3726",2275,121.5854,31.3726
"297","121.5853_31.3726","121.5853_31.3726",1134,121.5853,31.3726
"298","121.5857_31.3723","121.5857_31.3723",70,121.5857,31.3723
"299","121.587_31.3717","121.587_31.3717",15,121.587,31.3717
"300","121.5872_31.3718","121.5872_31.3718",1079,121.5872,31.3718
"301","121.5868_31.3717","121.5868_31.3717",2,121.5868,31.3717
"302","121.5871_31.3722","121.5871_31.3722",80,121.5871,31.3722
"303","121.5861_31.3724","121.5861_31.3724",1350,121.5861,31.3724
"304","121.5862_31.3724","121.5862_31.3724",1515,121.5862,31.3724
"305","121.5862_31.3722","121.5862_31.3722",417,121.5862,31.3722
"306","121.5863_31.3722","121.5863_31.3722",496,121.5863,31.3722
"307","121.5863_31.3723","121.5863_31.3723",408,121.5863,31.3723
"308","121.5865_31.3723","121.5865_31.3723",685,121.5865,31.3723
"309","121.586_31.3723","121.586_31.3723",2045,121.586,31.3723
"310","121.5733_31.378","121.5733_31.378",35,121.5733,31.378
"311","121.5868_31.3722","121.5868_31.3722",344,121.5868,31.3722
"312","121.5863_31.3724","121.5863_31.3724",358,121.5863,31.3724
"313","121.576_31.3764","121.576_31.3764",21,121.576,31.3764
"314","121.576_31.3765","121.576_31.3765",117,121.576,31.3765
"315","121.576_31.3766","121.576_31.3766",1028,121.576,31.3766
"316","121.5759_31.3764","121.5759_31.3764",22,121.5759,31.3764
"317","121.5763_31.3762","121.5763_31.3762",17,121.5763,31.3762
"318","121.5861_31.3721","121.5861_31.3721",20,121.5861,31.3721
"319","121.5862_31.3721","121.5862_31.3721",31,121.5862,31.3721
"320","121.5864_31.372","121.5864_31.372",3,121.5864,31.372
"321","121.5863_31.3721","121.5863_31.3721",32,121.5863,31.3721
"322","121.5864_31.3719","121.5864_31.3719",3,121.5864,31.3719
"323","121.5864_31.3717","121.5864_31.3717",1,121.5864,31.3717
"324","121.5864_31.3722","121.5864_31.3722",346,121.5864,31.3722
"325","121.5864_31.3724","121.5864_31.3724",85,121.5864,31.3724
"326","121.5745_31.3771","121.5745_31.3771",343,121.5745,31.3771
"327","121.5746_31.3771","121.5746_31.3771",546,121.5746,31.3771
"328","121.5746_31.377","121.5746_31.377",84,121.5746,31.377
"329","121.5745_31.377","121.5745_31.377",45,121.5745,31.377
"330","121.5866_31.3721","121.5866_31.3721",472,121.5866,31.3721
"331","121.5866_31.372","121.5866_31.372",58,121.5866,31.372
"332","121.5865_31.3721","121.5865_31.3721",165,121.5865,31.3721
"333","121.5863_31.3726","121.5863_31.3726",42,121.5863,31.3726
"334","121.5863_31.3725","121.5863_31.3725",103,121.5863,31.3725
"335","121.5866_31.3722","121.5866_31.3722",670,121.5866,31.3722
"336","121.5867_31.3719","121.5867_31.3719",11,121.5867,31.3719
"337","121.5734_31.3778","121.5734_31.3778",128,121.5734,31.3778
"338","121.5734_31.3777","121.5734_31.3777",264,121.5734,31.3777
"339","121.5734_31.3779","121.5734_31.3779",29,121.5734,31.3779
"340","121.6536_31.3382","121.6536_31.3382",1280,121.6536,31.3382
"341","121.6537_31.3382","121.6537_31.3382",623,121.6537,31.3382
"342","121.6525_31.3388","121.6525_31.3388",1123,121.6525,31.3388
"343","121.6524_31.3388","121.6524_31.3388",1863,121.6524,31.3388
"344","121.6538_31.3382","121.6538_31.3382",860,121.6538,31.3382
"345","121.6535_31.3382","121.6535_31.3382",536,121.6535,31.3382
"346","121.6535_31.3383","121.6535_31.3383",1678,121.6535,31.3383
"347","121.6536_31.3383","121.6536_31.3383",813,121.6536,31.3383
"348","121.6537_31.3383","121.6537_31.3383",563,121.6537,31.3383
"349","121.6537_31.3381","121.6537_31.3381",490,121.6537,31.3381
"350","121.6495_31.3401","121.6495_31.3401",735,121.6495,31.3401
"351","121.6494_31.3402","121.6494_31.3402",1535,121.6494,31.3402
"352","121.6496_31.3401","121.6496_31.3401",1014,121.6496,31.3401
"353","121.6494_31.3401","121.6494_31.3401",580,121.6494,31.3401
"354","121.6495_31.3402","121.6495_31.3402",1081,121.6495,31.3402
"355","121.6496_31.3402","121.6496_31.3402",954,121.6496,31.3402
"356","121.6493_31.3403","121.6493_31.3403",1568,121.6493,31.3403
"357","121.6494_31.3403","121.6494_31.3403",491,121.6494,31.3403
"358","121.6493_31.3404","121.6493_31.3404",500,121.6493,31.3404
"359","121.9325_29.9387","121.9325_29.9387",233,121.9325,29.9387
"360","121.9325_29.9386","121.9325_29.9386",128,121.9325,29.9386
"361","121.9326_29.9387","121.9326_29.9387",190,121.9326,29.9387
"362","121.9326_29.9386","121.9326_29.9386",189,121.9326,29.9386
"363","121.9326_29.9388","121.9326_29.9388",370,121.9326,29.9388
"364","121.9324_29.9387","121.9324_29.9387",44,121.9324,29.9387
"365","121.6544_31.3378","121.6544_31.3378",153,121.6544,31.3378
"366","121.6545_31.3378","121.6545_31.3378",464,121.6545,31.3378
"367","121.6545_31.3377","121.6545_31.3377",331,121.6545,31.3377
"368","121.6546_31.3377","121.6546_31.3377",1566,121.6546,31.3377
"369","121.6547_31.3378","121.6547_31.3378",563,121.6547,31.3378
"370","121.6544_31.3377","121.6544_31.3377",119,121.6544,31.3377
"371","121.6546_31.3378","121.6546_31.3378",728,121.6546,31.3378
"372","121.6544_31.3379","121.6544_31.3379",792,121.6544,31.3379
"373","121.6484_31.3408","121.6484_31.3408",91,121.6484,31.3408
"374","121.6484_31.3407","121.6484_31.3407",899,121.6484,31.3407
"375","121.6485_31.3407","121.6485_31.3407",529,121.6485,31.3407
"376","121.6483_31.3408","121.6483_31.3408",400,121.6483,31.3408
"377","121.925_29.9342","121.925_29.9342",196,121.925,29.9342
"378","121.925_29.9343","121.925_29.9343",137,121.925,29.9343
"379","121.9249_29.9342","121.9249_29.9342",86,121.9249,29.9342
"380","121.9249_29.9343","121.9249_29.9343",113,121.9249,29.9343
"381","121.65_31.3398","121.65_31.3398",1060,121.65,31.3398
"382","121.6501_31.3398","121.6501_31.3398",1099,121.6501,31.3398
"383","121.65_31.3399","121.65_31.3399",1402,121.65,31.3399
"384","121.6501_31.3399","121.6501_31.3399",945,121.6501,31.3399
